DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EE,2016,1.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EE,2017,2.1,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EE,2018,1.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EE,2019,1.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EE,2020,2.1,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EE,2021,2.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EL,2010,6.7,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EL,2011,3.7,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EL,2012,2.3,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EL,2013,1.5,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EL,2014,1.3,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EL,2015,1.4,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EL,2016,1.1,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EL,2017,1.5,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EL,2018,2.0,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EL,2019,2.2,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EL,2020,2.4,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,EL,2021,3.7,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,ES,2010,26.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,ES,2011,22.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,ES,2012,19.3,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,ES,2013,15.1,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,ES,2014,14.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,ES,2015,14.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,ES,2016,18.3,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,ES,2017,23.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,ES,2018,24.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,ES,2019,22.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,ES,2020,12.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,ES,2021,19.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FI,2010,9.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FI,2011,9.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FI,2012,8.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FI,2013,8.1,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FI,2014,7.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FI,2015,7.5,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FI,2016,8.3,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FI,2017,8.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FI,2018,8.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FI,2019,8.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FI,2020,8.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FI,2021,8.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FR,2010,84.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FR,2011,90.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FR,2012,85.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FR,2013,77.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FR,2014,67.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FR,2015,68.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FR,2016,75.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FR,2017,80.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FR,2018,77.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FR,2019,79.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FR,2020,66.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,FR,2021,78.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HR,2010,2.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HR,2011,2.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HR,2012,1.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HR,2013,1.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HR,2014,1.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HR,2015,2.1,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HR,2016,2.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HR,2017,2.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HR,2018,2.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HR,2019,2.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HR,2020,2.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HR,2021,2.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HU,2010,4.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HU,2011,3.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HU,2012,3.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HU,2013,3.5,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HU,2014,3.5,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HU,2015,4.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HU,2016,7.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HU,2017,8.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HU,2018,8.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HU,2019,7.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HU,2020,6.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,HU,2021,8.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IE,2010,4.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IE,2011,3.3,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IE,2012,2.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IE,2013,2.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IE,2014,2.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IE,2015,4.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IE,2016,4.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IE,2017,5.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IE,2018,6.5,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IE,2019,7.3,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IE,2020,7.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IE,2021,7.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IT,2010,20.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IT,2011,18.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IT,2012,14.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IT,2013,10.5,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IT,2014,8.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IT,2015,9.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IT,2016,10.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IT,2017,12.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IT,2018,14.1,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IT,2019,14.1,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IT,2020,10.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,IT,2021,12.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LT,2010,2.5,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LT,2011,2.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LT,2012,2.5,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LT,2013,3.0,
