DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,MT,2012,801.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,MT,2013,815.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,MT,2014,961.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,MT,2015,1112.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,MT,2016,1176.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,MT,2017,1180.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,MT,2018,1219.6,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,MT,2019,1518.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,MT,2020,1560.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,NL,2011,88944.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,NL,2012,81883.2,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,NL,2013,77553.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,NL,2014,77125.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,NL,2015,80310.1,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,NL,2016,86481.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,NL,2017,96054.3,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,NL,2018,105000.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,NL,2019,114442.2,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,NL,2020,85417.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,PL,2011,57350.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,PL,2012,49362.7,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,PL,2013,49061.2,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,PL,2014,59974.8,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,PL,2015,60105.5,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,PL,2016,57494.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,PL,2017,64090.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,PL,2018,78186.1,b
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,PL,2019,86700.0,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,PL,2020,91007.4,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,PT,2011,27610.9,
ESTAT:SBS_NA_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V12120,PT,2012,20838.9,
