DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,size_emp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,ES,2011,342257,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,ES,2012,320872,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,ES,2013,320086,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,ES,2014,346822,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,ES,2015,377795,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,ES,2016,367601,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,ES,2017,376235,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,ES,2018,380029,b
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,ES,2019,382186,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,ES,2020,379025,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FI,2011,42785,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FI,2012,42781,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FI,2013,42844,b
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FI,2014,41827,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FI,2015,41616,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FI,2016,40891,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FI,2017,41110,b
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FI,2018,40809,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FI,2019,41403,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FI,2020,42375,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FR,2011,464125,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FR,2012,512864,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FR,2013,536488,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FR,2014,575733,b
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FR,2015,494099,b
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FR,2016,507048,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FR,2017,468974,b
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FR,2018,472425,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FR,2019,486876,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,FR,2020,501189,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HR,2011,21987,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HR,2012,20170,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HR,2013,19236,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HR,2014,18359,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HR,2015,17575,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HR,2016,17598,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HR,2017,17994,
